,0,1,2,3,4
462,[16962     3],0,1,2,2.1
463,[16973     3],0,2,1,2.1
464,[16976     2],0,0,2,2.1
465,[16979     3],1,1,1,2.1
466,[16980     3],1,1,1,2.1
467,[16988     4],0,1,3,2.1
468,[16989     3],0,3,0,2.1
469,[16990     1],0,0,1,2.1
470,[16991     1],1,0,0,2.1
471,[16993     3],0,1,2,2.1
472,[17015     3],1,0,2,2.1
473,[17020     4],1,1,2,2.1
474,[17022     3],2,0,1,2.1
475,[17024     1],0,0,1,2.1
476,[17034     2],0,0,2,2.1
477,[17035     5],0,0,5,2.1
478,[17036     1],0,0,1,2.1
479,[17041     3],1,1,1,2.1
480,[17046     3],0,1,2,2.1
481,[17050     3],1,0,2,2.1
482,[17053     3],1,0,2,2.1
483,[17057     3],1,1,1,2.1
484,[17058     1],0,0,1,2.1
485,[17067     1],0,0,1,2.1
486,[17069     1],0,0,1,3.1
487,[17075     1],0,1,0,3.1
488,[17081     3],0,0,3,3.1
489,[17085     1],0,0,1,3.1
490,[17088     2],0,0,2,3.1
491,[17105     4],2,0,2,3.1
492,[17149     3],1,1,1,1.1
493,[17159     2],0,0,2,1.1
494,[17177     3],1,1,1,1.1
495,[17214     3],0,0,3,1.1
496,[17231     1],0,0,1,1.1
497,[17257     3],0,0,3,1.1
498,[17282     1],0,0,1,1.1
499,[17305    42],6,21,15,1.1
500,[17329     1],0,0,1,1.1
501,[17347     1],0,0,1,1.1
502,[17437     3],0,1,2,1.1
503,[17442     1],0,0,1,5.1
504,[17488     1],0,0,1,5.1
505,[17535     2],0,0,2,5.1
506,[17555     4],1,0,3,5.1
507,[17571     3],0,1,2,5.1
508,[17578    42],6,10,26,8.1
509,[17596     1],0,0,1,8.1
510,[17611    42],6,18,18,8.1
511,[17614    42],2,7,33,2.1
512,[17616     3],0,0,3,2.1
513,[17618     4],1,0,3,2.1
514,[17639     1],0,0,1,2.1
515,[17640     1],0,0,1,2.1
516,[17647     1],0,0,1,2.1
517,[17650     1],0,0,1,2.1
518,[17664     1],0,0,1,2.1
519,[17667     1],0,0,1,2.1
